"","term","estimate","std.error","statistic","p.value","or"
"1","(Intercept)",0.432972764906292,0.0302129216949366,14.3307148271878,1.40665239761707e-46,1.54183422812911
"2","x1",-0.0330367449592031,0.00450311169017684,-7.33642583888604,2.19373278168578e-13,0.967503008077306
"3","x2",-0.044627961477904,0.00300720441257043,-14.8403484948859,8.03375218843066e-50,0.956353215892652
